"id","listing_url","name","description","picture_url","zip_code","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","number_of_reviews","overall_rating","host_id","host_url","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified","host_total_listings_count"
577712432176320640,"https://www.airbnb.com/rooms/1064783077718993069","Spacious one bedroom","Enjoy easy access to everything Austin has to offer from this central location. 10 minutes from The Domain, 20 minutes from downtown Austin, 15 mins from downtown round rock","https://a0.muscache.com/pictures/hosting/Hosting-1064783077718993069/original/77d7b6c3-9590-4f18-abd7-25e545515639.jpeg",78728,30.44113,-97.69733,"Entire home/apt",4,1,1,1,106,1,3,5,348648372,"https://www.airbnb.com/users/show/348648372","Angel","2020-06-04","within a few hours",100,89,0,1,1
52049989,"https://www.airbnb.com/rooms/27729695","Modern 2BR, w/King Bed, 5min to everything-SAFE","VERY SAFE neighborhood,  modernized 950 sq ft condo in a perfect location in Austin.  1 mile to the lake, 1.5 miles to 6th st., 2 miles to UT. Fully furnished, 2brm/1bath condo has a king, Queen + pullout trundle with amazing mattresses and pillows for comfortable  sleeping. Very modernized interior, kitchen is fully equipped, granite bar, kitchen table & large TV's in every room. We installed a HALO-LED Whole Home Air Purifier, top of the line!-Please note: this is not a party condo.","https://a0.muscache.com/pictures/7cadf085-b37c-42a7-80c4-e8772a1ec23d.jpg",78703,30.28738,-97.76576,"Entire home/apt",4,1,2,3,202,3,80,4.95,71620531,"https://www.airbnb.com/users/show/71620531","Matt","2016-05-12","within an hour",100,100,0,1,3
1082699966180848640,"https://www.airbnb.com/rooms/579029288332180375","Rustic Lake House Studio Hideaway","Great lake location! <br />near Lakeway for remote digital nomads as you can walk to Lake Travis and Sun Dancer Grill.  Take it easy at this unique and tranquil getaway. Lakehouse Studio is upstairs with a private deck and entry. Great walking neighborhood. Many amenities close by ~ the lake, hiking trails, parks, golf, great shopping, numerous restaurants, nightlife, live music, entertainment, wineries, breweries, distilleries, and a hospital if needed. One person only. No pets.","https://a0.muscache.com/pictures/bb554aeb-6279-46bb-8578-78b623396be8.jpg",78734,30.37953,-97.95422,"Entire home/apt",1,1,0,1,99,90,0,NA,240008862,"https://www.airbnb.com/users/show/240008862","Kelly","2019-01-30","within a day",100,100,1,1,2
52056574,"https://www.airbnb.com/rooms/1019660491628347140","East Austin Dream Home+Pool+Close to Rainey Street","Nestled in the heart of East Austin's vibrant atmosphere is our private, luxurious escape, where thoughtfully curated design and beautiful aesthetics meet to create a stay nothing short of magical. Luxury isn't just a word; but an experience for guests like you.This expansive 2000+ sq. ft. home boasts 3 spacious bedrooms, an office that 2x as a 4th bedroom, a game room, and private backyard with a heated pool. Ideal for friends visiting Austin for football, F1, ACL or to explore this great city.","https://a0.muscache.com/pictures/miso/Hosting-1019660491628347140/original/593e56cb-c972-429a-bb65-1282bd740ceb.jpeg",78702,30.2605801,-97.7307858,"Entire home/apt",11,3.5,4,6,446,2,29,4.97,11697746,"https://www.airbnb.com/users/show/11697746","One Fine BnB","2014-01-27","within an hour",100,97,1,1,142
1147207393133193600,"https://www.airbnb.com/rooms/939842203198381785","Bouldin Creek Getaway","Discover our eco-friendly 2-bed, 2.5-bath oasis in Bouldin Creek, Austin, Tx. Modern construction, close to South Congress, and surrounded by bamboo for utmost privacy. Enjoy a sustainable stay with high-end amenities, a serene backyard, and local recommendations. Experience the best of Austin's culture while indulging in your own green retreat. Perfect for business or pleasure, our house offers convenience and tranquility. Book now for an unforgettable stay in the heart of the city!","https://a0.muscache.com/pictures/miso/Hosting-939842203198381785/original/2d3ff84f-38a3-4d8f-b23c-c4869087db04.jpeg",78704,30.25026,-97.76078,"Entire home/apt",5,2.5,2,2,219,1,28,4.93,526913863,"https://www.airbnb.com/users/show/526913863","Melisa","2023-07-20","within an hour",100,98,1,1,1
598448958128884224,"https://www.airbnb.com/rooms/1072619208214355500","Gorgeous South Austin Modern + Spacious Home","Discover the charm of simplicity in our Luxury Haven! Unwind in the spacious and beautiful living areas, where comfort meets style. Each of the three bedrooms is a cozy sanctuary, inviting you to relax and recharge. Perfect for those seeking a laid-back yet refined getaway, this home provides a warm and welcoming atmosphere. We are sure you will make many memories in our home just like we have!","https://a0.muscache.com/pictures/miso/Hosting-1072619208214355500/original/3b9c1327-94fb-466d-881e-cbb28bc12952.jpeg",78748,30.1812,-97.80605,"Entire home/apt",7,2,3,0,178,2,3,5,489747032,"https://www.airbnb.com/users/show/489747032","Geoffrey","2022-11-30","within an hour",100,100,0,1,2
1070914388253788032,"https://www.airbnb.com/rooms/38482667","Eastside Peace","Cozy, comfortable, conveniently-located east-side house 3 miles from downtown complete with two private bedrooms, a fold out sleeping option in the living room, a mind/body studio space, front patio and spacious backyard. The kitchen boasts a bar with 3 swivel stools and a dinette set. There are dimmable, ambient, and color-changing mood-lighting options. WiFi, Netflix, Amazon Prime Video, HBO, Disney and Spotify are all included. Also provided, a private gated driveway for off-street parking.","https://a0.muscache.com/pictures/2aa952ec-6bfd-4a90-8311-628faeaaf6bb.jpg",78721,30.27176,-97.68716,"Entire home/apt",4,1,2,3,90,2,96,4.88,12643940,"https://www.airbnb.com/users/show/12643940","Zoe","2014-02-27","N/A",NA,NA,0,1,2
4258466,"https://www.airbnb.com/rooms/931947488438649573","Bright & spacious westlake gem 10 minutes from DT","Welcome to your serene Austin sanctuary in the heart of Westlake hills. Perfect for families and professionals, enjoy a quiet, kid-friendly street in the top-tier Eanes school district. A prime base for exploring Austin with shopping, cafes, and parks just a walk away. Downtown, Zilker Park, Barton Springs, and the greenbelt's hikes and waterholes are all within a 10-minute drive. Enjoy our fully stocked kitchen and make unforgettable memories in this vibrant city. Live Austin, welcome home!","https://a0.muscache.com/pictures/miso/Hosting-931947488438649573/original/c980395f-db8c-44a5-b004-87e5730af2bf.jpeg",78746,30.2789035,-97.8008324,"Entire home/apt",8,2.5,4,5,382,2,1,3,1929300,"https://www.airbnb.com/users/show/1929300","Arvind","2012-03-15","a few days or more",0,89,0,1,4
554266665547921088,"https://www.airbnb.com/rooms/910805544936414910","Avery Ranch Austin TX","Experience the charm of our family-friendly retreat in serene North Austin. Only a 15-minute drive from downtown, our home is the perfect base for your Austin adventure. Enjoy our spacious and secure child-oriented yard, four full bedrooms with the ability to host up to 8 adults, and ample parking with a double garage. Nestled in a peaceful neighborhood, our property offers a delightful blend of comfort, convenience, and tranquility. Let us host your unforgettable Austin stay!","https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTEwODA1NTQ0OTM2NDE0OTEw/original/87221d17-c226-4129-9595-154ae1019d00.jpeg",78717,30.4944661,-97.771875,"Entire home/apt",12,2,4,0,222,1,10,5,4313715,"https://www.airbnb.com/users/show/4313715","Shai","2012-12-03","within an hour",100,80,0,1,3
819488028776838016,"https://www.airbnb.com/rooms/586290871957243293","Private Tiny House Surrounded by Nature","Keep it simple at this peaceful and centrally-located tiny house. Sitting on an acre with private porch and wooded views yet only a short ride to Downtown, airport, and some of Austin’s top entertainment and restaurants.<br /><br />Enjoy some down time with a dip in the 11 foot cowboy pool or a fire in the fire pit in between exploring all that Austin has to offer!<br /><br />Located on a cul de sac in a quiet neighborhood with plenty of safe parking and sidewalks.","https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTg2MjkwODcxOTU3MjQzMjkz/original/9a8ce5d6-9cb1-4191-b604-f14f5645f25a.jpeg",78741,30.22108,-97.72879,"Entire home/apt",3,1,1,2,122,3,58,4.97,308537087,"https://www.airbnb.com/users/show/308537087","Megan","2019-11-10","within an hour",100,91,1,1,1
654125295940309248,"https://www.airbnb.com/rooms/684978819010951933","Cozy AirBnB in Austin Texas!","Welcome to your next long term AirBnB in Austin Texas. You will be minutes from Austin-Bergstrom Airport, Downtown and the Tesla GigaFactory. This gorgeous 1100 sq ft 3br/2ba home is where old meets new, with easy access to Highway 71 and 183. Our home is newly furnished, pet friendly and ready to host you, your family and your friends anytime.<br /><br />Amenities include:<br />Free washer and Dryer on site<br />Fully stocked kitchen <br />Air conditioning and heating<br />Pet allowed<br /><br />OPERATING LICENSE OL2022094174","https://a0.muscache.com/pictures/96f9c03b-48d1-44f8-aecd-24c21b875882.jpg",78741,30.2280269,-97.692523,"Entire home/apt",6,2,3,3,106,2,25,4.8,216099138,"https://www.airbnb.com/users/show/216099138","Jose","2018-09-18","within an hour",100,100,1,1,5
23326070,"https://www.airbnb.com/rooms/759436277454866075","Stylish 2BR Near UT | Highland | Evonify","Whether you are just getting away for the weekend or looking for an extended stay, we are committed to creating a comfortable experience for all of our guests. Our check-in process is easy and contact-less.","https://a0.muscache.com/pictures/prohost-api/Hosting-759436277454866075/original/a0240a73-b953-45d6-93b0-f8af33e06005.jpeg",78752,30.32164,-97.71391,"Entire home/apt",6,1,2,2,53,1,12,4.25,274552333,"https://www.airbnb.com/users/show/274552333","Evonify","2019-07-08","within an hour",100,98,0,1,188
1115438139904464256,"https://www.airbnb.com/rooms/47721386","Historic Casita in Highly Walkable Area Downtown","Renovated casita with all the comforts of home in a cozy package in a highly desirable walkable neighborhood. Brand new memory foam mattress, comfy West Elm sofa, smart TV, Keurig coffee maker, kitchenette, super fast WiFi,  and private landscaped yard for your furry friend to play while you relax on the outdoor sofa with a cup of coffee. Austin's famous tacos and BBQ are within walking distance with outdoor patio seating and takeout options. Street parking available","https://a0.muscache.com/pictures/e247d906-5bab-4ba0-8ab5-d3efa33869be.jpg",78702,30.26007,-97.73001,"Entire home/apt",2,1,0,1,98,1,32,4.94,120111086,"https://www.airbnb.com/users/show/120111086","Megan","2017-03-10","within an hour",100,100,1,1,3
552776323348983680,"https://www.airbnb.com/rooms/48343709","Unique Bougie Boondocker in the City!","Keep it weird in Austin by staying in the Bougie Boondocker! About 15 minutes from downtown & the airport. She's cute, cozy and comes equipped with a brand new  air conditioning unit, heater, shower, toilet and kitchen. It's the best of both worlds - country and city feel.<br /><br /><br />Note: shower is on the smaller side but works great! <br /><br />The yard has two decks, a hammock, entertainment system, a stock tank pool, fire pit, grill, smoker. <br />$20 pet fee <br /><br /><br />PLEASE READ THE MANUAL BEFORE YOU ARRIVE!","https://a0.muscache.com/pictures/c579083f-7a77-44b5-a1bd-1c990a5d60c3.jpg",78721,30.26651,-97.68077,"Entire home/apt",2,1,1,1,79,1,86,4.88,19159030,"https://www.airbnb.com/users/show/19159030","Katherine","2014-07-30","within an hour",100,100,0,1,2
35424448,"https://www.airbnb.com/rooms/3475010","Studio condo near Zilker, springs & DT!","- .33 miles to Barton Springs Pool/Zilker Park<br />- Approx 2 miles to Downtown<br />- Queen-size Temperpedic and queen-size pullout bed<br />- HDTV w/ Roku and antenna for local channels<br />- Managed by Cynthia and Peach Reynolds","https://a0.muscache.com/pictures/prohost-api/Hosting-3475010/original/1e2bd33d-5bca-4b84-a601-f60d56b79648.jpeg",78704,30.259762,-97.772856,"Entire home/apt",4,1,1,2,105,2,104,4.88,15219795,"https://www.airbnb.com/users/show/15219795","Cynthia","2014-05-07","within an hour",100,99,1,1,17
52204089,"https://www.airbnb.com/rooms/1092066616036872215","ATX Express","Welcome to your urban oasis in the heart of downtown Austin! Located just off the highway at 3rd Street, our sleek studio apartment is the epitome of clean and efficient living, designed for travelers who appreciate style, comfort, and convenience.","https://a0.muscache.com/pictures/hosting/Hosting-1092066616036872215/original/bc2d9a97-3c34-4ed4-83a8-c0e2bcc0431c.jpeg",78701,30.2625282509717,-97.7369076365054,"Entire home/apt",2,1,0,1,145,1,12,4.83,236371702,"https://www.airbnb.com/users/show/236371702","Loki","2019-01-13","within an hour",100,96,0,1,8
51635728,"https://www.airbnb.com/rooms/1142213890405034372","A Cute and Funky Hideaway","Welcome to our vibrant 2-bedroom Airbnb, where every wall tells a story in vivid color! Step inside and experience a living space that bursts with funky charm, featuring eclectic decor and bold, artistic touches.  Fully equipped with modern amenities and located minutes from McKinney Falls State Park and downtown Austin, this colorful haven is your ideal base for exploring the city in style. Ready for an unforgettable stay? Book now and let the adventure begin!","https://a0.muscache.com/pictures/miso/Hosting-1142213890405034372/original/3d0be863-c996-4cec-93a5-8a8572b99910.jpeg",78744,30.19416,-97.73948,"Entire home/apt",5,1.5,2,3,79,1,3,4.67,70393368,"https://www.airbnb.com/users/show/70393368","Lincoln","2016-05-04","within an hour",100,100,0,1,6
